League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Italy Serie B,2024-12-01,11:00:00,15,Frosinone,Cesena,3.6,2.05,3.2,2.74,3.1,2.68,1.44,2.63,1.02,7.3,1.37,3.1,2.05,1.65,1.91,1.91,1.55,1.28,1.38,1.0,0.71,1.37,1.43,2.8,2.12,6.25,1.8,1.31,3.15,1.55,2.29,1.92,1.79,2.47,1.48,3.3,1.29
France Ligue 1,2024-12-01,11:00:00,13,Montpellier,Lille,4.33,2.3,2.4,4.1,3.94,1.76,1.33,3.25,1.03,15.0,1.22,4.33,1.7,2.05,1.62,2.2,2.0,1.22,1.25,1.14,1.71,1.36,1.49,2.85,2.62,8.5,1.7,1.28,2.97,1.54,2.19,1.98,1.74,2.52,1.41,3.44,1.21
Portugal LigaPro,2024-12-01,11:00:00,12,CD Tondela,Paços de Ferreira,2.66,2.03,4.25,2.06,3.15,3.5,1.44,2.67,1.01,8.0,1.31,2.82,2.08,1.62,1.87,1.83,1.28,1.3,1.73,2.33,1.17,1.57,1.23,2.8,1.83,8.0,2.2,1.14,4.2,1.37,2.85,1.63,2.14,2.01,1.71,2.58,1.44
Italy Serie B,2024-12-01,11:00:00,15,Palermo,Spezia,3.0,2.05,4.0,2.25,3.16,3.34,1.5,2.5,1.0,8.1,1.4,2.97,2.15,1.57,1.95,1.8,1.3,1.3,1.65,1.29,1.38,1.81,1.28,3.09,1.65,6.5,2.35,1.27,3.38,1.49,2.44,1.82,1.88,2.32,1.54,3.05,1.33
Italy Serie B,2024-12-01,11:00:00,15,Pisa,Cosenza,2.63,2.05,4.75,1.9,3.34,4.19,1.5,2.5,1.04,6.25,1.4,2.96,2.1,1.6,2.0,1.75,1.18,1.25,1.85,2.25,1.43,1.34,1.34,2.68,1.54,6.25,2.55,1.29,3.25,1.52,2.36,1.87,1.83,2.39,1.51,3.2,1.3
Italy Serie A,2024-12-01,11:00:00,14,Torino,Napoli,5.0,2.0,2.5,4.09,3.42,1.9,1.5,2.5,1.02,7.1,1.39,2.62,2.05,1.73,2.05,1.7,2.0,1.28,1.2,1.14,2.0,1.14,1.02,2.16,2.48,6.4,1.67,1.44,2.55,1.73,1.96,2.18,1.58,2.8,1.36,3.8,1.21
Czech Republic First League,2024-12-01,11:30:00,17,Mladá Boleslav,Hradec Králové,2.62,2.1,3.7,2.12,3.42,3.31,1.36,3.0,1.03,9.0,1.25,3.14,1.92,1.87,1.73,2.0,1.33,1.3,1.62,1.63,0.63,1.5,1.15,2.65,1.62,7.4,2.65,0.0,0.0,1.31,3.15,1.53,2.33,1.92,1.88,2.36,1.52
Czech Republic First League,2024-12-01,11:30:00,17,Pardubice,České Budějovice,2.2,2.2,4.6,2.24,3.13,3.33,1.36,3.0,1.02,10.0,1.22,3.34,1.91,1.88,1.8,1.91,1.18,1.29,2.0,1.0,0.14,1.1,1.0,2.1,1.55,6.4,3.0,0.0,0.0,1.31,3.15,1.53,2.34,1.86,1.84,2.35,1.53
Germany Bundesliga,2024-12-01,11:30:00,12,Mainz 05,Hoffenheim,2.6,2.3,3.75,1.95,3.78,3.5,1.3,3.4,1.01,17.0,1.14,4.15,1.65,2.2,1.53,2.38,1.35,1.24,1.78,1.14,0.5,1.45,1.11,2.56,1.54,6.75,2.75,1.25,3.4,1.44,2.55,1.72,1.97,2.14,1.61,2.7,1.4
Belgium Pro League,2024-12-01,12:00:00,16,Beerschot-Wilrijk,Cercle Brugge,4.0,2.3,2.5,3.63,3.76,1.89,1.33,3.25,1.05,9.5,1.25,3.95,1.65,2.05,1.62,2.2,1.85,1.22,1.25,1.13,0.5,0.92,1.33,2.25,2.55,6.75,1.53,1.21,3.9,1.36,2.8,1.6,2.17,2.05,1.7,2.4,1.49
